name,price,original_price,category,image,description,discount,hover_image,is_featured,allow_custom_image,stock_quantity
Personalized Photo Envelope Necklace,1299,1999,personalized-gifts,https://xctasy.co/cdn/shop/products/envelope1.jpg,Beautiful envelope necklace with hidden photo inside,35,https://xctasy.co/cdn/shop/products/envelope2.jpg,TRUE,TRUE,100
Personalized Eye Photo Necklace,1399,2199,personalized-gifts,https://xctasy.co/cdn/shop/products/eye1.jpg,Unique eye-shaped locket with your photo,36,https://xctasy.co/cdn/shop/products/eye2.jpg,TRUE,TRUE,100
Custom Name Necklace Gold,1199,1899,for-her,https://xctasy.co/cdn/shop/products/name1.jpg,Stylish custom name necklace in gold finish,37,https://xctasy.co/cdn/shop/products/name2.jpg,TRUE,TRUE,100
Personalized Memory Box,1599,2499,couples,https://xctasy.co/cdn/shop/products/box1.jpg,Wooden memory box with photo customization,36,https://xctasy.co/cdn/shop/products/box2.jpg,FALSE,TRUE,80
Photo Music Fridge Magnet,799,1299,personalized-gifts,https://xctasy.co/cdn/shop/products/magnet1.jpg,Scan to play song with your photo magnet,38,,TRUE,TRUE,120
Resin Heart Art Frame,1899,2999,couples,https://xctasy.co/cdn/shop/products/resin1.jpg,Handmade resin art with preserved memories,37,,FALSE,TRUE,50
Couple Initial Bracelet,999,1599,couples,https://xctasy.co/cdn/shop/products/bracelet1.jpg,Matching initial bracelets for couples,38,,TRUE,TRUE,100
Traditional Jhumka Earrings,699,1299,earrings,https://xctasy.co/cdn/shop/products/jhumka1.jpg,Ethnic jhumkas perfect for festive wear,46,,FALSE,FALSE,150
Personalized Spotify Plaque,1499,2499,personalized-gifts,https://xctasy.co/cdn/shop/products/plaque1.jpg,Custom Spotify plaque with photo & song,40,,TRUE,TRUE,60
Photo Keychain Gift,499,899,express,https://xctasy.co/cdn/shop/products/key1.jpg,Affordable personalized photo keychain,44,,FALSE,TRUE,200
Infinity Love Necklace,1199,1999,for-her,https://glomo.in/cdn/shop/products/infinity1.jpg,Infinity symbol necklace for love gifting,40,,TRUE,FALSE,100
Butterfly Pendant Necklace,999,1699,for-her,https://glomo.in/cdn/shop/products/butterfly1.jpg,Elegant butterfly pendant necklace,41,,FALSE,FALSE,120
Rose Gold Heart Necklace,1099,1899,for-her,https://glomo.in/cdn/shop/products/heart1.jpg,Premium rose gold heart necklace,42,,TRUE,FALSE,90
Personalised Love Hamper Box,1999,3299,couples,https://glomo.in/cdn/shop/products/hamper1.jpg,Romantic personalized gift hamper set,39,,TRUE,TRUE,40
Silver Adjustable Ring,799,1399,rings,https://glomo.in/cdn/shop/products/ring1.jpg,Minimal adjustable silver ring,43,,FALSE,FALSE,150
Couple Ring Set,1299,2199,rings,https://glomo.in/cdn/shop/products/ring2.jpg,Matching couple rings for special moments,41,,TRUE,FALSE,100
Evil Eye Bracelet,699,1199,for-him,https://glomo.in/cdn/shop/products/evil1.jpg,Protective evil eye bracelet,42,,FALSE,FALSE,130
Charm Anklet,649,1099,for-her,https://glomo.in/cdn/shop/products/anklet1.jpg,Trendy charm anklet for daily wear,41,,FALSE,FALSE,140
Personalised Earring Box,999,1699,personalized-gifts,https://glomo.in/cdn/shop/products/ebox1.jpg,Name printed premium earring storage box,41,,FALSE,TRUE,70
Minimal Bar Necklace,899,1499,for-her,https://glomo.in/cdn/shop/products/bar1.jpg,Sleek bar necklace for modern styling,40,,FALSE,FALSE,110
Oxidised Jhumka Earrings,599,999,earrings,https://fubs.in/cdn/shop/products/jhumka1.jpg,Classic oxidised jhumka earrings,40,,TRUE,FALSE,180
Peacock Design Jhumka,699,1299,earrings,https://fubs.in/cdn/shop/products/jhumka2.jpg,Peacock inspired ethnic jhumkas,46,,FALSE,FALSE,160
Gold Finish Jhumka Combo,1299,2499,earrings,https://fubs.in/cdn/shop/products/combo1.jpg,Set of 3 stylish gold finish jhumkas,48,,TRUE,FALSE,90
Silver Lookalike Jhumka,649,1199,earrings,https://fubs.in/cdn/shop/products/jhumka3.jpg,Traditional silver look jhumka earrings,46,,FALSE,FALSE,140
Temple Style Jhumka,799,1499,earrings,https://fubs.in/cdn/shop/products/jhumka4.jpg,Temple jewellery inspired jhumkas,47,,FALSE,FALSE,120
Antique Finish Jhumka,749,1399,earrings,https://fubs.in/cdn/shop/products/jhumka5.jpg,Antique finish heavy jhumka earrings,46,,FALSE,FALSE,100
Floral Jhumka Earrings,699,1299,earrings,https://fubs.in/cdn/shop/products/jhumka6.jpg,Floral pattern lightweight jhumkas,46,,FALSE,FALSE,150
Pearl Drop Jhumka,899,1699,earrings,https://fubs.in/cdn/shop/products/jhumka7.jpg,Pearl drop designer jhumka earrings,47,,TRUE,FALSE,110
Matte Gold Jhumka,799,1499,earrings,https://fubs.in/cdn/shop/products/jhumka8.jpg,Matte gold finish statement jhumkas,47,,FALSE,FALSE,130
Wedding Wear Jhumka,999,1899,earrings,https://fubs.in/cdn/shop/products/jhumka9.jpg,Perfect jhumkas for wedding functions,47,,TRUE,FALSE,80
